INSTNM,CITY,STABBR,ZIP,INSTURL
Iverson Business School,Arlington,TX,76010,www.ii.edu
Lawrence County Career and Technical Center-Practical Nursing Program,New Castle,PA,16101-5099,www.lcvt.tec.pa.us
Pioneer Technology Center,Ponca City,OK,74601,pioneertech.edu
Portage Lakes Career Center,Uniontown,OH,44685,www.plcc.edu
Eastern College of Health Vocations-New Orleans,New Orleans,LA,70123,www.easterncollege.edu.
Bell Mar Beauty College,Cicero,IL,60804,www.bellmar.edu
Cannella School of Hair Design-Chicago,Chicago,IL,60639-4828,cannellabeautyschools.com
Caddo Kiowa Technology Center,Fort Cobb,OK,73038-0190,www.caddokiowa.com
Kaplan College-San Antonio-San Pedro,San Antonio,TX,78216-1899, Accrediting Council for Independent Colleges and Schools
Oswego County BOCES,Mexico,NY,13114,www.oswegoboces.org/
Le Cordon Bleu College of Culinary Arts-Austin,Austin,TX,78758,www.chefs.edu/Austin
The Art Institute of New York City,New York,NY,10013,www.artinstitutes.edu/new-york/Default.aspx
Paris II Educational Center,Gladstone,MO,64118,parisii.net
International School of Skin Nailcare & Massage Therapy,Atlanta,GA,30342,issnschoolspa.com/
Palomar Institute of Cosmetology,San Marcos,CA,92078,pic.edu/
Southern Oklahoma Technology Center,Ardmore,OK,73401,www.sotc.edu
Vista College,El Paso,TX,79925-2021,vistacollege.edu
Vista College,Amarillo,TX,79108,http://vistacollege.edu
Vista College,Lubbock,TX,79414,http://vistacollege.edu
Computer Career Center-Las Cruces,Las Cruces,NM,88011,http://vistacollege.edu
Vista College-Beaumont,Beaumont,TX,77701,http://vistacollege.edu
Vista College-Longview,Longview,TX,75604,http://vistacollege.edu
Vista College-Killeen,Killeen,TX,76541,http://vistacollege.edu
Autry Technology Center,Enid,OK,73703-2506,www.autrytech.edu
Greene County Vocational School District,Xenia,OH,45385-9545,www.greeneccc.com
Canadian Valley Technology Center,El Reno,OK,73036,www.cvtech.edu
Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes Barre,PA,18705-0699,www.wbpracnsg.com
Mayo Graduate School,Rochester,MN,55905,www.mayo.edu/mgs/index.html
American Beauty Institute,McAlester,OK,74501,www.americanbeautyinstitutes.com
Meridian Technology Center,Stillwater,OK,74074-1899,www.meridiantech.edu
Waynesville Career Center,Waynesville,MO,65583,www.waynesville.k12.mo.us/Domain/9
Connecticut Institute of Hair Design,Wolcott,CT,6716,www.cthairandbarberschool.com
Capitol School of Hairstyling and Esthetics,Omaha,NE,68137-2325,www.capitollook.com
Morris County Vocational School District,Denville,NJ,7834,www.mcvts.org/
Ross Medical Education Center-Roosevelt Park,Roosevelt Park,MI,49441,www.rosseducation.edu
Ross Medical Education Center-Kentwood,Kentwood,MI,48508,www.rosseducation.edu
South Florida Bible College and Theological Seminary,Deerfield Beach,FL,33441,www.sfbc.edu
Cloyd's Barber School 2 Inc,Monroe,LA,71202,cloydsbarberschool.com
Universal Technical Institute of Illinois Inc,Glendale Heights,IL,60139-0000,www.uti.edu/
Pennsylvania College of Technology,Williamsport,PA,17701-5799,www.pct.edu
Commonwealth Institute of Funeral Service,Houston,TX,77090-5918,www.commonwealth.edu
Delta College of Arts & Technology,Baton Rouge,LA,70806-1529, Council on Occupational Education
InterCoast Colleges-Orange,Orange,CA,92868,www.intercoast.edu
Stone Child College,Box Elder,MT,59521-9796,www.stonechild.edu
New York Academy of Art,New York,NY,10013-2911, New York State Board of Regents and the Commissioner of Education
Suffolk County Community College,Selden,NY,11784-2899,www3.sunysuffolk.edu
Las Positas College,Livermore,CA,94551-7650,www.laspositascollege.edu
Blades School of Hair Design,California,MD,20619,BladesSchoolOfHairDesign.com
Altamaha Technical College,Jesup,GA,31545,www.altamahatech.edu
Ogeechee Technical College,Statesboro,GA,30458, Southern Association of Colleges and Schools Commission on Colleges
Remington College-Mobile Campus,Mobile,AL,36609,www.remingtoncollege.edu/mobile-alabama-colleges-campus
Everest College-Aurora,Aurora,CO,80012-5692,www.everest.edu/campus/aurora
Southwest Florida College,Fort Myers,FL,33907-1108,www.swfc.edu
Mercy-St Luke's School of Radiologic Technology,Cedar Rapids,IA,52402,www.isrt.org/ResourceCenter/mstl.aspx
ITT Technical Institute-Norwood,Norwood,MA,02062-3932,www.itt-tech.edu
Southwest Acupuncture College-Santa Fe,Santa Fe,NM,87505,www.acupuncturecollege.edu
Northwest Technology Center-Alva,Alva,OK,73717,www.nwtech.edu
Mercer County Career Center,Mercer,PA,16137, Middle States Commission on Secondary Schools
ITT Technical Institute-Knoxville,Knoxville,TN,37923,www.itt-tech.edu
ITT Technical Institute-Austin,Austin,TX,78723,www.itt-tech.edu
ITT Technical Institute-Houston North,Houston,TX,77090,www.itt-tech.edu
California State University-San Marcos,San Marcos,CA,92096-0001,www.csusm.edu
